reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
AVCQHM16WW024,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-w1/black-satin-avcqhm16ww024,N/A,Harry Winston,N/A,N/A,Avenue C Mini,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,15.6 x 32.3 mm,N/A,N/A,7.8 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K white gold,N/A,18K white gold,quartz,HW1053,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            47 brilliant-cut diamonds (approx. 0.69 carat)"
AVEQMP21RR001,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-moon-phase-r1/brown-pearl-alligator-leather-aveqmp21rr001,N/A,Harry Winston,N/A,N/A,Avenue Classic Moon Phase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,21.4 x 36.1 mm,N/A,N/A,7.4 mm,N/A,N/A,N/A,3,N/A,"Havana brown beaded mother-of-pearl
18K gold Emerald applique",N/A,18K rose gold,N/A,18K rose gold,quartz,HW5203,N/A,N/A,N/A,"hours and minutes
small seconds
moon phase",N/A,"Total gem-setting

                            84 brilliant-cut diamonds (approx. 2.35 cts)"
AVEQHM21RR125,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-aurora-r1/white-pearl-alligator-leather-aveqhm21rr125,N/A,Harry Winston,N/A,N/A,Avenue Classic Aurora,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,21.4 x 36.1 mm,N/A,N/A,6.3 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
18K gold Emerald applique",N/A,18K rose gold,N/A,18K rose gold,quartz,HW1046,N/A,N/A,N/A,"hours and minutes
small seconds",N/A,"Total gem-setting

                            99 brilliant-cut diamonds (approx. 3.47 cts)12 baguette-cut pink sapphires (approx. 0.79 carat)"
AVCQHM16RR045,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-r2/black-alligator-leather-avcqhm16rr045,N/A,Harry Winston,N/A,N/A,Avenue C Mini,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,15.6 x 32.3 mm,N/A,N/A,7.8 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
diamond-set elliptical motif
18K gold Emerald applique",N/A,18K rose gold,N/A,18K rose gold,quartz,HW1053,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            161 brilliant–cut diamonds (approx. 0.87 carat)"
AVEQHM21WW284,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-w4/18k-white-gold-aveqhm21ww284,N/A,Harry Winston,N/A,N/A,Avenue Classic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,21.4 x 36.1 mm,N/A,N/A,6.7 mm,N/A,N/A,N/A,3,N/A,"sunray waves guilloché
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1046,N/A,N/A,N/A,"hours and minutes
small seconds",N/A,"Total gem-setting

                            67 brilliant-cut diamonds (approx. 2.28 cts)"
AVEQHM21RR126,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-aurora-r1/18k-rose-gold-aveqhm21rr126,N/A,Harry Winston,N/A,N/A,Avenue Classic Aurora,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,21.4 x 36.1 mm,N/A,N/A,6.3 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
18K gold Emerald applique",N/A,18K rose gold,N/A,18K rose gold,quartz,HW1046,N/A,N/A,N/A,"hours and minutes
small seconds",N/A,"Total gem-setting

                            93 brilliant-cut diamonds (approx. 3.46 cts)12 baguette-cut pink sapphires (approx. 0.79 carat)"
AVCQHM16WW055,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-lily-cluster-pink-w1/pink-pearl-alligator-leather-avcqhm16ww055,N/A,Harry Winston,N/A,N/A,Avenue C Mini Lily Cluster Pink,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,15.6 x 32.3 mm,N/A,N/A,7.8 mm,N/A,N/A,N/A,3,N/A,"pink mother-of-pearl
Lily Cluster pattern
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1053,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            81 brilliant-cut diamonds (approx. 0.78 carat)"
AVEQMP21WW001,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-moon-phase-w1/blue-pearl-alligator-leather-aveqmp21ww001,N/A,Harry Winston,N/A,N/A,Avenue Classic Moon Phase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,21.4 x 36.1 mm,N/A,N/A,7.4 mm,N/A,N/A,N/A,3,N/A,blue beaded mother-of-pearl 18K gold Emerald applique,N/A,18K white gold,N/A,18K white gold,quartz,HW5203,N/A,N/A,N/A,"hours and minutes
small seconds
moon phase",N/A,"Total gem-setting

                            84 brilliant-cut diamonds (approx. 2.35 cts)"
AVEQHM21RR112,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-r2/white-alligator-leather-aveqhm21rr112,N/A,Harry Winston,N/A,N/A,Avenue Classic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,21.4 x 36.1 mm,N/A,N/A,6.7 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
diamond-set elliptical motif
18K gold indexes and Emerald applique",N/A,18K rose gold,N/A,18K rose gold,quartz,HW1046,N/A,N/A,N/A,"hours and minutes
small seconds",N/A,"Total gem-setting

                            174 brilliant-cut diamonds (approx. 4.45 cts)"
AVCQHM16RR042,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-lily-cluster-r1/18k-rose-gold-avcqhm16rr042,N/A,Harry Winston,N/A,N/A,Avenue C Mini Lily Cluster,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,15.6 x 32.3 mm,N/A,N/A,7.8 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
Lily Cluster pattern
18K gold Emerald applique",N/A,18K rose gold,N/A,18K rose gold,quartz,HW1053,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            81 brilliant-cut diamonds (approx. 0.78 carat)"
AVEQHM21WW025,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-w2/black-alligator-leather-aveqhm21ww025,N/A,Harry Winston,N/A,N/A,Avenue Classic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,21.4 x 36.1 mm,N/A,N/A,6.7 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1046,N/A,N/A,N/A,"hours and minutes
small seconds",N/A,"Total gem-setting

                            29 brilliant-cut diamonds (approx. 2.21 cts)"
AVEQHM21RR103,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-r1/18k-rose-gold-aveqhm21rr103,N/A,Harry Winston,N/A,N/A,Avenue Classic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,21.4 x 36.1 mm,N/A,N/A,6.7 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
18K gold Emerald applique",N/A,18K rose gold,N/A,18K rose gold,quartz,HW1046,N/A,N/A,N/A,"hours and minutes
small seconds",N/A,"Total gem-setting

                            29 brilliant-cut diamonds (approx. 2.21 cts)"
AVEAHM21RR003,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-automatic-r1/18k-rose-gold-diamond-set-aveahm21rr003,N/A,Harry Winston,N/A,N/A,Avenue Classic Automatic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,open sapphire crystal,21.4 x 36.1 mm,N/A,N/A,8.4 mm,N/A,N/A,N/A,3,N/A,white mother-of-pearl,N/A,18K rose gold,N/A,18K rose gold,automatic,HW2009,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            209 brilliant-cut diamonds (approx. 6.22 cts)1 emerald-cut diamond (approx. 0.02 carat)"
AVCQHM16WW057,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-lily-cluster-pink-w1/18k-white-gold-diamond-set-avcqhm16ww057,N/A,Harry Winston,N/A,N/A,Avenue C Mini Lily Cluster Pink,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,15.6 x 32.3 mm,N/A,N/A,7.8 mm,N/A,N/A,N/A,3,N/A,"pink mother-of-pearl
Lily Cluster pattern
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1053,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            293 brilliant-cut diamonds (approx. 2.90 cts)"
AVEQHM21WW283,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-w4/black-alligator-leather-aveqhm21ww283,N/A,Harry Winston,N/A,N/A,Avenue Classic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,21.4 x 36.1 mm,N/A,N/A,6.7 mm,N/A,N/A,N/A,3,N/A,"sunray waves guilloché
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1046,N/A,N/A,N/A,"hours and minutes
small seconds",N/A,"Total gem-setting

                            67 brilliant-cut diamonds (approx. 2.28 cts)"
AVEQHM21WW049,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-w2/18k-white-gold-aveqhm21ww049,N/A,Harry Winston,N/A,N/A,Avenue Classic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,21.4 x 36.1 mm,N/A,N/A,6.7 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1046,N/A,N/A,N/A,"hours and minutes
small seconds",N/A,"Total gem-setting

                            29 brilliant-cut diamonds (approx. 2.21 cts)"
AVEQMP21WW005,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-moon-phase-w1/18k-white-gold-diamond-set-aveqmp21ww005,N/A,Harry Winston,N/A,N/A,Avenue Classic Moon Phase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,21.4 x 36.1 mm,N/A,N/A,7.4 mm,N/A,N/A,N/A,3,N/A,blue beaded mother-of-pearl 18K gold Emerald applique,N/A,18K white gold,N/A,18K white gold,quartz,HW5203,N/A,N/A,N/A,"hours and minutes
small seconds
moon phase",N/A,"Total gem-setting

                            216 brilliant-cut diamonds (approx. 6.23 cts)"
AVEQHM21RR023,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-r1/brown-alligator-leather-aveqhm21rr023,N/A,Harry Winston,N/A,N/A,Avenue Classic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,21.4 x 36.1 mm,N/A,N/A,6.7 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
18K gold Emerald applique",N/A,18K rose gold,N/A,18K rose gold,quartz,HW1046,N/A,N/A,N/A,"hours and minutes
small seconds",N/A,"Total gem-setting

                            29 brilliant-cut diamonds (approx. 2.21 cts)"
AVCQMP16WW004,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-moon-phase-w2/blue-pearl-alligator-leather-avcqmp16ww004,N/A,Harry Winston,N/A,N/A,Avenue C Mini Moon Phase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,15.6 x 32.3 mm,N/A,N/A,8.1 mm,N/A,N/A,N/A,3,N/A,"blue beaded mother-of-pearl
blue mother-of-pearl
18K gold moons indexes and Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW5101,N/A,N/A,N/A,"hours and minutes
moon phase",N/A,"Total gem-setting

                            149 brilliant-cut diamonds (approx. 0.85 carat)8 baguette-cut diamonds (approx. 0.03 carat)"
AVCQMP16WW008,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-moon-phase-w2/18k-white-gold-avcqmp16ww008,N/A,Harry Winston,N/A,N/A,Avenue C Mini Moon Phase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,15.6 x 32.3 mm,N/A,N/A,8.1 mm,N/A,N/A,N/A,3,N/A,"blue beaded mother-of-pearl
blue mother-of-pearl
18K gold moons indexes and Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW5101,N/A,N/A,N/A,"hours and minutes
moon phase",N/A,"Total gem-setting

                            143 brilliant-cut diamonds (approx. 0.84 carat)8 baguette-cut diamonds (approx. 0.03 carat)"
AVEQHM21WW231,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-w1/white-alligator-leather-aveqhm21ww231,N/A,Harry Winston,N/A,N/A,Avenue Classic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,21.4 x 36.1 mm,N/A,N/A,6.7 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1046,N/A,N/A,N/A,"hours and minutes
small seconds",N/A,"Total gem-setting

                            93 brilliant-cut diamonds (approx. 3.67 cts)"
AVCQHM16WW046,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-art-deco-w1/18k-white-gold-avcqhm16ww046,N/A,Harry Winston,N/A,N/A,Avenue C Mini Art Deco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,15.6 x 32.3 mm,N/A,N/A,7.8 mm,N/A,N/A,N/A,3,N/A,"sunray pattern
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1053,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            63 brilliant-cut diamonds (approx. 0.75 carat)"
AVEQHM21WW288,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-cherry-blossom-w1/18k-white-gold-diamond-set-aveqhm21ww288,N/A,Harry Winston,N/A,N/A,Avenue Classic Cherry Blossom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,21.4 x 36.1 mm,N/A,N/A,6.7 mm,N/A,N/A,N/A,3,N/A,"pale green-blue mother-of-pearl
18K gold branches and Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1044,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            206 brilliant-cut diamonds (approx. 6.18 cts)29 brilliant-cut pink sapphires (approx. 0.04 carat)"
AVCQHM16WW051,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-lily-cluster-w1/18k-white-gold-diamond-set-avcqhm16ww051,N/A,Harry Winston,N/A,N/A,Avenue C Mini Lily Cluster,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,15.6 x 32.3 mm,N/A,N/A,7.8 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
Lily Cluster pattern
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1053,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            293 brilliant-cut diamonds (approx. 2.90 cts)"
AVCQHM16WW049,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-lily-cluster-w1/black-alligator-leather-avcqhm16ww049,N/A,Harry Winston,N/A,N/A,Avenue C Mini Lily Cluster,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,15.6 x 32.3 mm,N/A,N/A,7.8 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
Lily Cluster pattern
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1053,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            81 brilliant-cut diamonds (approx. 0.78 carat)"
AVCQHM16RR037,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-art-deco-r1/white-alligator-leather-avcqhm16rr037,N/A,Harry Winston,N/A,N/A,Avenue C Mini Art Deco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,15.6 x 32.3 mm,N/A,N/A,7.8 mm,N/A,N/A,N/A,3,N/A,"sunray pattern
18K gold Emerald applique",N/A,18K rose gold,N/A,18K rose gold,quartz,HW1053,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            63 brilliant-cut diamonds (approx. 0.75 carat)"
AVCQHM16WW050,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-lily-cluster-w1/18k-white-gold-avcqhm16ww050,N/A,Harry Winston,N/A,N/A,Avenue C Mini Lily Cluster,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,15.6 x 32.3 mm,N/A,N/A,7.8 mm,N/A,N/A,N/A,3,N/A,"white mother-of-pearl
Lily Cluster pattern
18K gold Emerald applique",N/A,18K white gold,N/A,18K white gold,quartz,HW1053,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            81 brilliant-cut diamonds (approx. 0.78 carat)"
AVCQHM16RR040,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-art-deco-r2/18k-rose-gold-diamond-set-avcqhm16rr040,N/A,Harry Winston,N/A,N/A,Avenue C Mini Art Deco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,15.6 x 32.3 mm,N/A,N/A,7.8 mm,N/A,N/A,N/A,3,N/A,"sunray pattern
18K gold Emerald applique",N/A,18K rose gold,N/A,18K rose gold,quartz,HW1053,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            325 brilliant-cut diamonds (approx. 2.98 cts)"
AVCQMP16RR005,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-moon-phase-r2/18k-rose-gold-avcqmp16rr005,N/A,Harry Winston,N/A,N/A,Avenue C Mini Moon Phase,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,15.6 x 32.3 mm,N/A,N/A,8.1 mm,N/A,N/A,N/A,3,N/A,"brown beaded mother-of-pearl
blue mother-of-pearl
18K gold moons indexes and Emerald applique",N/A,18K rose gold,N/A,18K rose gold,quartz,HW5101,N/A,N/A,N/A,"hours and minutes
moon phase",N/A,"Total gem-setting

                            143 brilliant-cut diamonds (approx. 0.84 carat)8 baguette-cut diamonds (approx. 0.03 carat)"
AVCQHM19RR037,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-emerald-r1/black-alligator-leather-avcqhm19rr037,N/A,Harry Winston,N/A,N/A,Avenue C Emerald,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,19 x 39.5 mm,N/A,N/A,6.7 mm,N/A,N/A,N/A,3,N/A,"light pink varnished white mother-of-pearl
light lilac varnished beaded mother-of-pearl
18K gold Emerald applique",N/A,18K rose gold,N/A,18K rose gold,quartz,HW1044,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            87 brilliant-cut diamonds (approx. 1.66 cts)"
AVEQHM21RR119,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-diamond-drops-r1/brown-alligator-leather-aveqhm21rr119,N/A,Harry Winston,N/A,N/A,Avenue Classic Diamond Drops,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,closed,21.4 x 36.1 mm,N/A,N/A,6.7 mm,N/A,N/A,N/A,3,N/A,"pebbled brown
snow-setting
18K gold Emerald applique",N/A,18K rose gold,N/A,18K rose gold,quartz,HW1044,N/A,N/A,N/A,hours and minutes,N/A,"Total gem-setting

                            158 brilliant-cut diamonds (approx. 2.53 cts)"
