reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
AVCQHM16WW045,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-art-deco-w1/white-alligator-leather-avcqhm16ww045,,Harry Winston,,,Avenue C Mini Art Deco,,,,,,,,,,,closed,15.6 x 32.3 mm,,,7.8 mm,,,,3,,"sunray pattern
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW1053,,,,hours and minutes,,"Total gem-setting

                            63 brilliant-cut diamonds (approx. 0.75 carat)"
AVCQHM16RR038,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-art-deco-r1/18k-rose-gold-avcqhm16rr038,,Harry Winston,,,Avenue C Mini Art Deco,,,,,,,,,,,closed,15.6 x 32.3 mm,,,7.8 mm,,,,3,,"sunray pattern
18K gold Emerald applique",,18K rose gold,,18K rose gold,quartz,HW1053,,,,hours and minutes,,"Total gem-setting

                            63 brilliant-cut diamonds (approx. 0.75 carat)"
AVEQMP21WW007,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-20th-anniversary-moon-phase-w1/18k-white-gold-diamond-set-aveqmp21ww007,,Harry Winston,,,Avenue Classic 20th Anniversary Moon Phase,,,,,,,,,,,closed,21.4 x 36.1 mm,,,7.4 mm,,,,3,,"blue and purple beaded mother-of-pearl
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW5203,,,,"hours and minutes
small seconds
moon phase",,"Total gem-setting

                            240 brilliant-cut diamonds (approx. 8.20 cts)"
AVEQMP21WW002,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-20th-anniversary-moon-phase-w1/blue-pearl-alligator-leather-aveqmp21ww002,,Harry Winston,,,Avenue Classic 20th Anniversary Moon Phase,,,,,,,,,,,closed,21.4 x 36.1 mm,,,7.4 mm,,,,3,,"blue and purple beaded mother-of-pearl
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW5203,,,,"hours and minutes
small seconds
moon phase",,"Total gem-setting

                            128 brilliant-cut diamonds (approx. 4.38 cts)"
AVCQMP16RR004,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-moon-phase-r2/brown-pearl-alligator-leather-avcqmp16rr004,,Harry Winston,,,Avenue C Mini Moon Phase,,,,,,,,,,,closed,15.6 x 32.3 mm,,,8.1 mm,,,,3,,"brown beaded mother-of-pearl
blue mother-of-pearl
18K gold moons, indexes and Emerald applique",,18K rose gold,,18K rose gold,quartz,HW5101,,,,"hours and minutes
moon phase",,"Total gem-setting

                            149 brilliant-cut diamonds (approx. 0.85 carat)8 baguette-cut diamonds (approx. 0.03 carat)"
AVCQMP16WW008,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-moon-phase-w2/18k-white-gold-avcqmp16ww008,,Harry Winston,,,Avenue C Mini Moon Phase,,,,,,,,,,,closed,15.6 x 32.3 mm,,,8.1 mm,,,,3,,"blue beaded mother-of-pearl
blue mother-of-pearl
18K gold moons, indexes and Emerald applique",,18K white gold,,18K white gold,quartz,HW5101,,,,"hours and minutes
moon phase",,"Total gem-setting

                            143 brilliant-cut diamonds (approx. 0.84 carat)8 baguette-cut diamonds (approx. 0.03 carat)"
AVEQHM21RR122,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-r3/brown-alligator-leather-aveqhm21rr122,,Harry Winston,,,Avenue Classic,,,,,,,,,,,closed,21.4 x 36.1 mm,,,6.7 mm,,,,3,,"sunray waves guilloché
18K gold Emerald applique",,18K rose gold,,18K rose gold,quartz,HW1046,,,,"hours and minutes
small seconds",,"Total gem-setting

                            67 brilliant-cut diamonds (approx. 2.28 cts)"
AVEQHM21RR124,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-r3/18k-rose-gold-diamond-set-aveqhm21rr124,,Harry Winston,,,Avenue Classic,,,,,,,,,,,closed,21.4 x 36.1 mm,,,6.7 mm,,,,3,,"sunray waves guilloché
18K gold Emerald applique",,18K rose gold,,18K rose gold,quartz,HW1046,,,,"hours and minutes
small seconds",,"Total gem-setting

                            205 brilliant-cut diamonds (approx. 6.18 cts)"
AVEQMP21WW003,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-20th-anniversary-moon-phase-w1/18k-white-gold-gem-set-aveqmp21ww003,,Harry Winston,,,Avenue Classic 20th Anniversary Moon Phase,,*Limited edition: 20 pieces,,,,,,,,,closed,21.4 x 36.1 mm,,,7.4 mm,,,,3,,"blue and purple beaded mother-of-pearl
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW5203,,,,"hours and minutes
small seconds
moon phase",,"Total gem-setting

                            168 brilliant-cut diamonds (approx. 6.22 cts)108 brilliant-cut blue sapphires (approx. 1.18 cts)56 brilliant-cut pink sapphires (approx. 0.61 carat)52 brilliant-cut purple sapphires (approx. 0.57 carat)"
AVEQHM21WW289,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-pink-w1/pink-pearl-alligator-leather-aveqhm21ww289,,Harry Winston,,,Avenue Classic Pink,,,,,,,,,,,closed,21.4 x 36.1 mm,,,6.3 mm,,,,3,,"pink mother-of-pearl
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW1046,,,,"hours and minutes
small seconds",,"Total gem-setting

                            93 brilliant-cut diamonds (approx. 3.67 cts)"
AVCQHM16RR043,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-lily-cluster-r1/18k-rose-gold-diamond-set-avcqhm16rr043,,Harry Winston,,,Avenue C Mini Lily Cluster,,,,,,,,,,,closed,15.6 x 32.3 mm,,,7.8 mm,,,,3,,"white mother-of-pearl
Lily Cluster pattern
18K gold Emerald applique",,18K rose gold,,18K rose gold,quartz,HW1053,,,,hours and minutes,,"Total gem-setting

                            293 brilliant-cut diamonds (approx. 2.90 cts)"
AVCQTZ19RR002,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-dual-time-r1/18k-rose-gold-avcqtz19rr002,,Harry Winston,,,Avenue C Dual Time,,,,,,,,,,,closed,19 x 39.5 mm,,,8 mm,,,,3,,"white mother-of-pearl
18K gold Emerald applique",,18K rose gold,,18K rose gold,quartz,HW1053,,,,"excentered hours and minutes
excentered second time-zone",,"Total gem-setting

                            44 brilliant-cut diamonds (approx. 1.61 cts)"
AVEQHM21WW291,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-pink-w1/18k-white-gold-diamond-set-aveqhm21ww291,,Harry Winston,,,Avenue Classic Pink,,,,,,,,,,,closed,21.4 x 36.1 mm,,,6.3 mm,,,,3,,"pink mother-of-pearl
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW1046,,,,"hours and minutes
small seconds",,"Total gem-setting

                            231 brilliant-cut diamonds (approx. 7.56 cts)"
AVCQHM19RR037,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-emerald-r1/black-alligator-leather-avcqhm19rr037,,Harry Winston,,,Avenue C Emerald,,,,,,,,,,,closed,19 x 39.5 mm,,,6.7 mm,,,,3,,"light pink varnished white mother-of-pearl
light lilac varnished beaded mother-of-pearl
18K gold Emerald applique",,18K rose gold,,18K rose gold,quartz,HW1044,,,,hours and minutes,,"Total gem-setting

                            87 brilliant-cut diamonds (approx. 1.66 cts)"
AVEQHM21RR123,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-r3/18k-rose-gold-aveqhm21rr123,,Harry Winston,,,Avenue Classic,,,,,,,,,,,closed,21.4 x 36.1 mm,,,6.7 mm,,,,3,,"sunray waves guilloché
18K gold Emerald applique",,18K rose gold,,18K rose gold,quartz,HW1046,,,,"hours and minutes
small seconds",,"Total gem-setting

                            67 brilliant-cut diamonds (approx. 2.28 cts)"
AVCQHM19RR015,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-r1/18k-rose-gold-avcqhm19rr015,,Harry Winston,,,Avenue C,,,,,,,,,,,closed,19 x 39.5 mm,,,6.7 mm,,,,3,,white mother-of-pearl,,18K rose gold,,18K rose gold,quartz,HW1044,,,,hours and minutes,,"Total gem-setting

                            43 brilliant-cut diamonds (approx. 1.57 cts)"
AVCQHM16RR037,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-art-deco-r1/white-alligator-leather-avcqhm16rr037,,Harry Winston,,,Avenue C Mini Art Deco,,,,,,,,,,,closed,15.6 x 32.3 mm,,,7.8 mm,,,,3,,"sunray pattern
18K gold Emerald applique",,18K rose gold,,18K rose gold,quartz,HW1053,,,,hours and minutes,,"Total gem-setting

                            63 brilliant-cut diamonds (approx. 0.75 carat)"
AVEQHM21WW286,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-cherry-blossom-w1/blue-alligator-leather-aveqhm21ww286,,Harry Winston,,,Avenue Classic Cherry Blossom,,,,,,,,,,,closed,21.4 x 36.1 mm,,,6.7 mm,,,,3,,"pale green-blue mother-of-pearl
18K gold branches and Emerald applique",,18K white gold,,18K white gold,quartz,HW1044,,,,hours and minutes,,"Total gem-setting

                            74 brilliant-cut diamonds (approx. 2.31 cts)29 brilliant-cut pink sapphires (approx. 0.04 carat)"
AVCQTZ19WW003,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-dual-time-w1/18k-white-gold-diamond-set-avcqtz19ww003,,Harry Winston,,,Avenue C Dual Time,,,,,,,,,,,closed,19 x 39.5 mm,,,8 mm,,,,3,,"white mother-of-pearl
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW1053,,,,"excentered hours and minutes
excentered second time-zone",,"Total gem-setting

                            182 brilliant-cut diamonds (approx. 5.50 cts)"
AVCQHM16RR041,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-lily-cluster-r1/brown-alligator-leather-avcqhm16rr041,,Harry Winston,,,Avenue C Mini Lily Cluster,,,,,,,,,,,closed,15.6 x 32.3 mm,,,7.8 mm,,,,3,,"white mother-of-pearl
Lily Cluster pattern
18K gold Emerald applique",,18K rose gold,,18K rose gold,quartz,HW1053,,,,hours and minutes,,"Total gem-setting

                            81 brilliant-cut diamonds (approx. 0.78 carat)"
AVCQHM19RR005,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-r1/black-alligator-leather-avcqhm19rr005,,Harry Winston,,,Avenue C,,,,,,,,,,,closed,19 x 39.5 mm,,,6.7 mm,,,,3,,white mother-of-pearl,,18K rose gold,,18K rose gold,quartz,HW1044,,,,hours and minutes,,"Total gem-setting

                            43 brilliant-cut diamonds (approx. 1.57 cts)"
AVCQHM19WW139,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-precious-marquetry-w1/black-alligator-leather-avcqhm19ww139,,Harry Winston,,,Avenue C Precious Marquetry,,,,,,,,,,,closed,19 x 39.5 mm,,,6.7 mm,,,,3,,"marquetry of various mother-of-pearl
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW1044,,,,hours and minutes,,"Total gem-setting

                            87 brilliant-cut diamonds (approx. 1.66 cts)"
AVCQTZ19WW002,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-dual-time-w1/18k-white-gold-avcqtz19ww002,,Harry Winston,,,Avenue C Dual Time,,,,,,,,,,,closed,19 x 39.5 mm,,,8 mm,,,,3,,"white mother-of-pearl
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW1053,,,,"excentered hours and minutes
excentered second time-zone",,"Total gem-setting

                            44 brilliant-cut diamonds (approx. 1.61 cts)"
AVEQMP21WW006,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-20th-anniversary-moon-phase-w1/18k-white-gold-aveqmp21ww006,,Harry Winston,,,Avenue Classic 20th Anniversary Moon Phase,,,,,,,,,,,closed,21.4 x 36.1 mm,,,7.4 mm,,,,3,,"blue and purple beaded mother-of-pearl
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW5203,,,,"hours and minutes
small seconds
moon phase",,"Total gem-setting

                            102 brilliant-cut diamonds (approx. 4.30 cts)"
AVCQHM19WW018,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-w1/black-alligator-leather-avcqhm19ww018,,Harry Winston,,,Avenue C,,,,,,,,,,,closed,19 x 39.5 mm,,,6.7 mm,,,,3,,white mother-of-pearl,,18K white gold,,18K white gold,quartz,HW1044,,,,hours and minutes,,"Total gem-setting

                            43 brilliant-cut diamonds (approx. 1.57 cts)"
AVCQTZ19WW001,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-dual-time-w1/dark-gray-pearl-alligator-leather-avcqtz19ww001,,Harry Winston,,,Avenue C Dual Time,,,,,,,,,,,closed,19 x 39.5 mm,,,8 mm,,,,3,,"white mother-of-pearl
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW1053,,,,"excentered hours and minutes
excentered second time-zone",,"Total gem-setting

                            50 brilliant-cut diamonds (approx. 1.62 cts)"
AVCQMP16WW006,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-moon-phase-20th-anniversary-w2/pink-pearl-alligator-leather-avcqmp16ww006,,Harry Winston,,,Avenue C Mini Moon Phase 20th Anniversary,,*Limited edition: 20 pieces,,,,,,,,,closed,15.6 x 32.3 mm,,,8.1 mm,,,,3,,"white, pink and blue mother-of-pearl
18K gold moons and Emerald applique",,18K white gold,,18K white gold,quartz,HW5101,,,,"hours and minutes
moon phase",,"Total gem-setting

                            76 brilliant-cut pink sapphires (approx. 0.16 carat)52 baguette-cut diamonds (approx. 1.48 cts)21 brilliant-cut diamonds (approx. 0.07 carat)"
AVCQHM19RR039,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-emerald-r1/18k-rose-gold-diamond-set-avcqhm19rr039,,Harry Winston,,,Avenue C Emerald,,,,,,,,,,,closed,19 x 39.5 mm,,,6.7 mm,,,,3,,"light pink varnished white mother-of-pearl
light lilac varnished beaded mother-of-pearl
18K gold Emerald applique",,18K rose gold,,18K rose gold,quartz,HW1044,,,,hours and minutes,,"Total gem-setting

                            225 brilliant-cut diamonds (approx. 5.56 cts)"
AVEQHM21RR121,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-diamond-drops-r1/18k-rose-gold-diamond-set-aveqhm21rr121,,Harry Winston,,,Avenue Classic Diamond Drops,,,,,,,,,,,closed,21.4 x 36.1 mm,,,6.7 mm,,,,3,,"pebbled brown
snow-setting
18K gold Emerald applique",,18K rose gold,,18K rose gold,quartz,HW1044,,,,hours and minutes,,"Total gem-setting

                            296 brilliant-cut diamonds (approx. 6.43 cts)"
AVCQHM19RR032,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-art-deco-r1/18k-rose-gold-avcqhm19rr032,,Harry Winston,,,Avenue C Art Deco,,,,,,,,,,,closed,19 x 39.5 mm,,,6.7 mm,,,,3,,"sunray pattern
18K gold Emerald applique",,18K rose gold,,18K rose gold,quartz,HW1044,,,,hours and minutes,,"Total gem-setting

                            59 brilliant-cut diamonds (approx. 1.69 cts)"
AVEQHM21WW290,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-pink-w1/18k-white-gold-aveqhm21ww290,,Harry Winston,,,Avenue Classic Pink,,,,,,,,,,,closed,21.4 x 36.1 mm,,,6.3 mm,,,,3,,"pink mother-of-pearl
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW1046,,,,"hours and minutes
small seconds",,"Total gem-setting

                            93 brilliant-cut diamonds (approx. 3.67 cts)"
AVEQHM21RR119,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-classic-diamond-drops-r1/brown-alligator-leather-aveqhm21rr119,,Harry Winston,,,Avenue Classic Diamond Drops,,,,,,,,,,,closed,21.4 x 36.1 mm,,,6.7 mm,,,,3,,"pebbled brown
snow-setting
18K gold Emerald applique",,18K rose gold,,18K rose gold,quartz,HW1044,,,,hours and minutes,,"Total gem-setting

                            158 brilliant-cut diamonds (approx. 2.53 cts)"
AVCQHM19WW063,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-w1/18k-white-gold-avcqhm19ww063,,Harry Winston,,,Avenue C,,,,,,,,,,,closed,19 x 39.5 mm,,,6.7 mm,,,,3,,white mother-of-pearl,,18K white gold,,18K white gold,quartz,HW1044,,,,hours and minutes,,"Total gem-setting

                            43 brilliant-cut diamonds (approx. 1.57 cts)"
AVCQTZ19RR003,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-dual-time-r1/18k-rose-gold-diamond-set-avcqtz19rr003,,Harry Winston,,,Avenue C Dual Time,,,,,,,,,,,closed,19 x 39.5 mm,,,8 mm,,,,3,,"white mother-of-pearl
18K gold Emerald applique",,18K rose gold,,18K rose gold,quartz,HW1053,,,,"excentered hours and minutes
excentered second time-zone",,"Total gem-setting

                            182 brilliant-cut diamonds (approx. 5.50 cts)"
AVEATZ37ZZ001,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-dual-time-automatic-z1/black-alligator-leather-aveatz37zz001,,Harry Winston,,,Avenue Dual Time Automatic,,,,,,,,,,,"open, sapphire crystal",35.8 x 53.8 mm,,,10.7 mm,,,,3,,"openworked
black upper dial
18K gold Emerald applique",,Zalium,,Zalium,automatic,HW3502,,,,"excentered hours and minutes
date
day/night indicator
second time-zone with retrograde hours",,
AVCQHM16WW056,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-lily-cluster-pink-w1/18k-white-gold-avcqhm16ww056,,Harry Winston,,,Avenue C Mini Lily Cluster Pink,,,,,,,,,,,closed,15.6 x 32.3 mm,,,7.8 mm,,,,3,,"pink mother-of-pearl
Lily Cluster pattern
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW1053,,,,hours and minutes,,"Total gem-setting

                            81 brilliant-cut diamonds (approx. 0.78 carat)"
AVCQMP16RR006,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-moon-phase-r2/18k-rose-gold-diamond-set-avcqmp16rr006,,Harry Winston,,,Avenue C Mini Moon Phase,,,,,,,,,,,closed,15.6 x 32.3 mm,,,8.1 mm,,,,3,,"brown beaded mother-of-pearl
blue mother-of-pearl
18K gold moons, indexes and Emerald applique",,18K rose gold,,18K rose gold,quartz,HW5101,,,,"hours and minutes
moon phase",,"Total gem-setting

                            355 brilliant-cut diamonds (approx. 2.96 cts)8 baguette-cut diamonds (approx. 0.03 carat)"
AVCQHM16WW046,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-art-deco-w1/18k-white-gold-avcqhm16ww046,,Harry Winston,,,Avenue C Mini Art Deco,,,,,,,,,,,closed,15.6 x 32.3 mm,,,7.8 mm,,,,3,,"sunray pattern
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW1053,,,,hours and minutes,,"Total gem-setting

                            63 brilliant-cut diamonds (approx. 0.75 carat)"
AVCQHM19RR038,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-emerald-r1/18k-rose-gold-avcqhm19rr038,,Harry Winston,,,Avenue C Emerald,,,,,,,,,,,closed,19 x 39.5 mm,,,6.7 mm,,,,3,,"light pink varnished white mother-of-pearl
light lilac varnished beaded mother-of-pearl
18K gold Emerald applique",,18K rose gold,,18K rose gold,quartz,HW1044,,,,hours and minutes,,"Total gem-setting

                            87 brilliant-cut diamonds (approx. 1.66 cts)"
AVCQHM19WW129,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-art-deco-w1/white-alligator-leather-avcqhm19ww129,,Harry Winston,,,Avenue C Art Deco,,,,,,,,,,,closed,19 x 39.5 mm,,,6.7 mm,,,,3,,"sunray pattern
18K gold Emerald applique",,18K white gold,,18K white gold,quartz,HW1044,,,,hours and minutes,,"Total gem-setting

                            59 brilliant-cut diamonds (approx. 1.69 cts)"
AVCQHM19WW009,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-w2/18k-white-gold-diamond-set-avcqhm19ww009,,Harry Winston,,,Avenue C,,,,,,,,,,,closed,19 x 39.5 mm,,,6.7 mm,,,,3,,diamond setting,,18K white gold,,18K white gold,quartz,HW1044,,,,hours and minutes,,"Total gem-setting

                            335 brilliant-cut diamonds (approx. 5.96 cts)"
AVCQHM16RR042,https://www.harrywinston.com/en/products/harry-winston-the-avenue-collection/avenue-c-mini-lily-cluster-r1/18k-rose-gold-avcqhm16rr042,,Harry Winston,,,Avenue C Mini Lily Cluster,,,,,,,,,,,closed,15.6 x 32.3 mm,,,7.8 mm,,,,3,,"white mother-of-pearl
Lily Cluster pattern
18K gold Emerald applique",,18K rose gold,,18K rose gold,quartz,HW1053,,,,hours and minutes,,"Total gem-setting

                            81 brilliant-cut diamonds (approx. 0.78 carat)"
